Iterations,Area,Temperature
1,139825.569,77
2,142262.22,78
3,142726.9205,80
4,124800.114,73
5,134600.908,82
6,114886.7385,71
7,129824.608,78
8,123003.265,76
9,117702.657,80
10,124597.3015,73
11,120851.489,75
12,114398.058,74
13,122536.043,80
14,116265.87,72
15,113966.306,71
16,110729.5,75
17,112825.428,71
18,110123.846,74
19,113750.4225,81
20,104755.6195,72
21,108023.752,72
22,106647.9125,76
23,108387.433,74
24,107298.6416,72
25,106833.5735,75
26,105066.684,75
27,108346.4935,75
28,104803.701,74
29,102513.182,76
30,101407.549,68
31,89377.592,70
32,93091.699,76
33,96434.43,76
34,99873.806,71
35,97018.7705,76
36,92930.491,76
37,86606.8185,75
38,86514.905,71
39,90013.1455,70.5
40,87706.5069,71
41,85139.9865,71
42,87591.9395,78.3
43,86267.291,72
44,84570.601,71
45,83720.3085,71
46,81101.986,70
47,76997.582,63
48,77653.372,65
49,77525.842,68.4
50,80128.0545,71
51,81124.1225,71
52,78984.705,69
53,76141.7525,68
54,75201.455,62
55,69670.1295,63
56,71977.4305,64
57,72288.666,67
58,71625.189,66
59,71902.043,70
60,75312.85,70
61,76333.7705,65
62,72828.3085,63
63,69814.9735,64
64,69788.8285,64
65,71458.379,64
66,69992.7525,65
67,72086.7695,68
68,68820.895,70
69,74087.974,62
70,75391.795,68
71,76976.635,66
72,71143.592,65
73,72817.5645,66
74,69561.659,64
75,69011.0845,64
76,70208.549,65
77,70535.373,64
78,70815.786,63
79,70538.5445,65
80,76132.0335,71
81,76930.82,72
82,76405.238,67
83,60832.0629,63